username,phoneNumber,email,allowNotify
pharmacist1,,pharmacist1@openlmis.org,FALSE
healthofficer1,,healthofficer1@openlmis.org,FALSE
labmanager1,,labmanager1@openlmis.org,FALSE
warehousemanager1,,warehousemanager1@openlmis.org,FALSE
nationalpharmacist1,,nationalpharmacist1@openlmis.org,FALSE
nationalstakeholder1,,nationalstakeholder1@openlmis.org,FALSE
pharmacist2,,pharmacist2@openlmis.org,FALSE
healthofficer2,,healthofficer2@openlmis.org,FALSE
labmanager2,,labmanager2@openlmis.org,FALSE
warehousemanager2,,warehousemanager2@openlmis.org,FALSE
nationalpharmacist2,,nationalpharmacist2@openlmis.org,FALSE
nationalstakeholder2,,nationalstakeholder2@openlmis.org,FALSE
