username,firstName,lastName,homeFacilityCode,active,verified,loginRestricted,allowNotify,roleAssignments
pharmacist1,Alan,Ehrenfreund,FAC01,TRUE,TRUE,FALSE,FALSE,"[RA1,RA2,RA3,RA4,RA9]"
healthofficer1,Felix,Gwaza,FAC01,TRUE,TRUE,TRUE,FALSE,"[RA5,RA6,RA7,RA8]"
labmanager1,Lina,Muge,FAC01,TRUE,TRUE,TRUE,FALSE,"[RA1,RA2,RA4,RA5,RA8,RA9]"
warehousemanager1,Kennedy,Banda,FAC03,TRUE,TRUE,TRUE,FALSE,"[RA7,RA4,RA5,RA8]"
nationalpharmacist1,Joses,Salazar,FAC01,TRUE,TRUE,TRUE,FALSE,"[RA8,RA5,RA4]"
nationalstakeholder1,Tito,Chaves,FAC01,TRUE,TRUE,TRUE,FALSE,"[RA8,RA5,RA4]"
pharmacist2,Adriano,Pereira,FAC04,TRUE,TRUE,TRUE,FALSE,"[RA14,RA12,RA15,RA16,RA21]"
healthofficer2,Clara,Rosario,FAC07,TRUE,TRUE,TRUE,FALSE,"[RA17,RA13,RA18,RA20]"
labmanager2,Angeslica,Vargas,FAC04,TRUE,TRUE,TRUE,FALSE,"[RA14,RA12,RA16,RA17,RA20,RA21]"
warehousemanager2,Diogo,Coelho,FAC07,TRUE,TRUE,TRUE,FALSE,"[RA18,RA16,RA17,RA20,RA22]"
nationalpharmacist2,Toni,Lobo,FAC04,TRUE,TRUE,TRUE,FALSE,"[RA20,RA17,RA16]"
nationalstakeholder2,Carlos,Ferreira,FAC04,TRUE,TRUE,TRUE,FALSE,"[RA20,RA17,RA16]"
